Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus
-28.760833,17.730278,1/2/11,128.912,555,10
-26.861111,28.884722,1/3/11,74.72,162.9,163
-26.45,28.085833,1/3/11,89.254,573,80
-27.671111,27.236944,1/3/11,82,203.6,101
-27.356667,27.286389,1/3/11,56.1,145.1,151
-27.01011111,26.69808333,1/4/11,82.2,289.8,192
-25.127778,27.628889,1/4/11,125,438,163
-25.20639,27.558,1/4/11,116.62,568,69
-24.69514,27.40906,1/4/11,181.831,583,158
-26.98472222,26.63227778,1/4/11,196,452,158
-28.141944,26.417778,1/4/11,94.718,227.9,132
-27.398611,26.614722,1/4/11,86.8,226.3,114
-33.501667,21.624167,1/4/11,201,769,74
-32.502778,19.535833,1/4/11,10.387,73,10
-25.45963889,28.26430556,1/4/11,108.94,396,82
-27.495556,26.074722,1/4/11,67.8,218.6,91
-26.648056,27.089444,1/5/11,211,532,62
-26.970278,27.211111,1/5/11,71.5,248.4,117
-27.38972222,26.46388889,1/5/11,82.14,255.5,74
-27.044444,27.005,1/5/11,83,220.9,85
-30.830556,26.921389,1/6/11,62.099,145,10
-27.00222,28.76528,1/6/11,34.855,114.5,150
-27.02314,28.59389,1/6/11,41.408,148.8,152
-30.679722,26.7125,1/6/11,55.297,138.3,44
-30.160091,27.40124,1/6/11,57.916,167.1,13
-32.595833,19.009444,1/6/11,8.621,63.1,19
-25.99136,27.84208,1/10/11,82.432,283.8,32
-26.73806,27.59194,1/10/11,55.3,189.1,105
-26.45,28.085833,1/10/11,105.711,635,80
-30.86013889,29.07125,1/10/11,40.861,95.6,10
-27.356667,27.286389,1/10/11,64.1,164,151
-27.01011111,26.69808333,1/11/11,66.1,203.4,131
-25.73411,27.21422,1/11/11,8,34.04,56
-26.98472222,26.63227778,1/11/11,128,196.7,158
-27.398611,26.614722,1/11/11,71.6,190.6,127
-27.671111,27.236944,1/11/11,75.096,275.7,71
-29.160278,26.573333,1/11/11,120.27,177.3,10
-34.250556,20.9925,1/11/11,26.8,304.5,12
-25.45963889,28.26430556,1/11/11,132,489,82
-25.81048333,27.90955222,1/12/11,131,584,10
-27.273889,28.49,1/12/11,49.114,136.6,32
-27.4275,28.525833,1/12/11,62.326,163.9,45
-28.883333,27.89,1/12/11,117.44,271.7,10
-27.00222,28.76528,1/13/11,63.848,190.9,62
-27.02314,28.59389,1/13/11,62.806,192.7,35
-30.534167,24.961944,1/13/11,100.962,142.6,80
-28.460833,21.248889,1/13/11,102.898,353,51
-29.658056,25.973333,1/14/11,86.742,107,85
-28.760833,17.730278,1/16/11,95.398,297.2,64
-25.513889,31.224444,1/17/11,63.165,155.5,11
-26.861111,28.884722,1/17/11,101.685,315.4,114
-31.554722,29.245556,1/17/11,58.2,197.2,12
-28.058889,30.373611,1/17/11,58,220,100
-25.127778,27.628889,1/18/11,131,415,163
-25.20639,27.558,1/18/11,102,516,90
-24.69514,27.40906,1/18/11,124,509,158
-25.681111,31.783333,1/18/11,53.322,247.7,10
-27.802778,28.768333,1/18/11,41.891,116.9,23
-27.398611,26.614722,1/18/11,133.319,323.7,139
-31.104278,29.399722,1/18/11,52.984,129,10
-31.396,29.2651,1/18/11,35.741,89.2,10
-33.38056,19.30167,1/18/11,32.968,174.3,41
-33.31388889,19.07472222,1/18/11,30.257,208.2,23
-27.495556,26.074722,1/18/11,176,458,91
-24.39619444,27.08983333,1/19/11,120,508,142
-26.970278,27.211111,1/19/11,63.9,202.4,101
-26.880278,26.965,1/19/11,235,593,176
-27.273889,28.49,1/19/11,63.114,149.5,11
-27.3,28.586944,1/19/11,59.091,150.3,16
-27.044444,27.005,1/19/11,83.5,225.2,102
-30.568333,29.422778,1/19/11,40.9,109.3,12
-30.570833,29.150556,1/19/11,40.72,90.6,10
-34.031944,22.053333,1/19/11,17.64,266.5,10
-33.13083,18.86278,1/19/11,19.323,117.3,35
-33.7075,18.97444444,1/19/11,7.891,78.6,27
-25.57877778,29.12747222,1/19/11,58.232,231.7,10
-26.006389,29.253889,1/20/11,77.092,367,14
-27.02314,28.59389,1/20/11,94.557,254.9,15
-30.679722,26.7125,1/20/11,73.862,158.9,10
-28.460833,21.248889,1/20/11,85.7,259.1,29
-30.77586667,29.03221667,1/20/11,40.9,110.2,12
-24.925278,29.324444,1/21/11,85.636,381,59
-28.460833,21.248889,1/21/11,81,243.2,43
-24.679167,30.8025,1/24/11,24.95,99.6,10
-25.99136,27.84208,1/24/11,90.9,324.2,32
-25.49037,30.6986,1/24/11,36.957,124.5,10
-26.970278,27.211111,1/24/11,76.24,287.3,96
-27.671111,27.236944,1/24/11,47.184,142.9,129
-27.356667,27.286389,1/24/11,87.25,208.7,123
-27.01011111,26.69808333,1/25/11,77.006,299.3,125
-26.98472222,26.63227778,1/25/11,153,410,158
-27.398611,26.614722,1/25/11,60.7,162.1,138
-33.818056,19.694722,1/25/11,11.901,145.1,10
-25.45963889,28.26430556,1/25/11,144.132,560,82
-33.897778,20.012778,1/25/11,99.926,1368,56
-25.81048333,27.90955222,1/26/11,110,652,10
-34.065833,20.404167,1/26/11,68.815,758,10
-24.058889,31.237222,1/26/11,70.928,306.4,15
-26.648056,27.089444,1/26/11,243,556,12
-26.880278,26.965,1/26/11,217,535,176
